dataset,seed,method,test_acc,val_acc,config_id,epoch,search_s,warmup_s_shared,all_operators_build_s_shared,trusted_count,rough_edges
cora,0,plain,0.811,0.7820000052452087,0,196,1.4404158759999994,0.36196616699999984,0.41673020900000024,605,897
cora,1,plain,0.802,0.800000011920929,1,150,1.547228583999999,0.37956649999999925,0.18723912499999962,400,515
cora,2,plain,0.815,0.7960000038146973,0,181,1.4856245010000002,0.36577741600000024,0.11898012500000021,277,272
cora,3,plain,0.817,0.7940000295639038,1,194,1.4425047499999977,0.3556524589999981,0.07105108299999685,156,67
cora,4,plain,0.799,0.8040000200271606,1,133,1.4909002909999884,0.36592124999999953,0.2449700420000056,452,598
cora,5,plain,0.815,0.8059999942779541,1,133,1.578169832999997,0.395916917000001,0.33231258299999666,500,713
cora,6,plain,0.811,0.8080000281333923,1,122,1.5246015009999994,0.377518957999996,0.33329308300000093,519,721
cora,7,plain,0.81,0.7900000214576721,0,198,1.5274960839999991,0.38050054200000005,0.07483133299999878,172,83
cora,8,plain,0.813,0.7919999957084656,1,92,1.5197363750000221,0.3752645420000107,0.08555658299999891,196,127
cora,9,plain,0.819,0.800000011920929,1,87,1.5324240830000093,0.3785452919999983,0.0745364579999972,161,74
cora,0,nrs,0.816,0.7919999957084656,1,138,1.4449711649999997,0.36196616699999984,0.41673020900000024,605,897
cora,1,nrs,0.802,0.8019999861717224,1,152,1.5139952080000008,0.37956649999999925,0.18723912499999962,400,515
cora,2,nrs,0.814,0.7979999780654907,0,198,1.473344791999999,0.36577741600000024,0.11898012500000021,277,272
cora,3,nrs,0.814,0.7900000214576721,0,192,1.4568366260000012,0.3556524589999981,0.07105108299999685,156,67
cora,4,nrs,0.793,0.800000011920929,1,148,1.457838541000001,0.36592124999999953,0.2449700420000056,452,598
cora,5,nrs,0.809,0.8059999942779541,1,114,1.4851494169999953,0.395916917000001,0.33231258299999666,500,713
cora,6,nrs,0.823,0.8199999928474426,1,126,1.5137023329999977,0.377518957999996,0.33329308300000093,519,721
