scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
ring_control,256,0,0,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.025625,0.069833,0.023167,0.118625,0.070375,0.197709,0.166583,0.434667,40452
ring_control,256,0,1,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.032,0.097417,0.074583,0.204,0.098375,0.207375,0.174666,0.480416,40452
ring_control,256,0,2,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.036125,0.085084,0.021458,0.142667,0.066208,0.356875,0.197042,0.620125,40452
ring_control,256,0,3,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.027709,0.066458,0.021583,0.11575,0.1045,0.212667,0.162541,0.479708,40452
ring_control,256,0,4,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.026792,0.06475,0.019417,0.110959,0.061792,0.174583,0.145459,0.381834,40452
ring_enemy,256,0,0,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.02125,0.058375,0.741291,0.820916,0.06125,0.162125,0.137083,0.360458,40452
ring_enemy,256,0,1,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.020833,0.055458,0.800542,0.876833,0.072708,0.178125,0.145667,0.3965,40452
ring_enemy,256,0,2,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.023125,0.060625,0.780083,0.863833,0.06725,0.164209,0.142166,0.373625,40452
ring_enemy,256,0,3,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.020625,0.063292,0.861833,0.94575,0.063875,0.164667,0.137292,0.365834,40452
ring_enemy,256,0,4,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,1.6653345369377348e-16,True,0.022791,0.059875,0.794625,0.877291,0.066209,0.186416,0.1335,0.386125,40452
star_leaf,256,0,0,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.020833,0.116208,0.0165,0.153541,0.067417,0.186666,0.139042,0.393125,40442
star_leaf,256,0,1,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.020541,0.057042,0.014917,0.0925,0.073125,0.170625,0.1635,0.40725,40442
star_leaf,256,0,2,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.029875,0.085541,0.018417,0.133833,0.062916,0.194917,0.139583,0.397416,40442
star_leaf,256,0,3,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.020167,0.058666,0.015917,0.09475,0.072625,0.171,0.159834,0.403459,40442
star_leaf,256,0,4,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.020208,0.060209,0.014833,0.09525,0.064834,0.190208,0.13275,0.387792,40442
star_hub,256,0,0,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.018291,0.057834,0.666291,0.742416,0.066708,0.163,0.165917,0.395625,40442
star_hub,256,0,1,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.023042,0.058375,0.634167,0.715584,0.08,0.177916,0.14,0.397916,40442
star_hub,256,0,2,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.019916,0.059917,0.654375,0.734208,0.078792,0.168208,0.138334,0.385334,40442
star_hub,256,0,3,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.024708,0.061167,0.651791,0.737666,0.088959,0.180125,0.151541,0.420625,40442
star_hub,256,0,4,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.028625,0.075958,0.664959,0.769542,0.074666,0.18325,0.16825,0.426166,40442
ring_control,256,1,0,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.018833,0.057084,0.0175,0.093417,0.062791,0.158834,0.132083,0.353708,40452
ring_control,256,1,1,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023875,0.068833,0.018834,0.111542,0.06225,0.166375,0.143625,0.37225,40452
ring_control,256,1,2,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.0195,0.057333,0.017959,0.094792,0.066333,0.16125,0.137667,0.36525,40452
ring_control,256,1,3,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.034375,0.059958,0.016667,0.111,0.058625,0.16325,0.134291,0.356166,40452
ring_control,256,1,4,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023667,0.070042,0.021666,0.115375,0.077792,0.1685,0.150125,0.396417,40452
ring_enemy,256,1,0,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021209,0.055916,0.761334,0.838459,0.062542,0.159875,0.140208,0.362625,40452
ring_enemy,256,1,1,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.022667,0.065958,0.759584,0.848209,0.067208,0.179625,0.142042,0.388875,40452
ring_enemy,256,1,2,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.024333,0.058542,0.788875,0.87175,0.078625,0.169333,0.141917,0.389875,40452
ring_enemy,256,1,3,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.025083,0.066625,0.782084,0.873792,0.062333,0.1695,0.137625,0.369458,40452
ring_enemy,256,1,4,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021709,0.056833,0.791167,0.869709,0.067834,0.178708,0.141958,0.3885,40452
star_leaf,256,1,0,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.01825,0.059292,0.015917,0.093459,0.0605,0.156041,0.126375,0.342916,40442
