scenario,n_old,shrink,touch,q_touch,inc_total_mean,inc_total_sd,batch_total_mean,batch_total_sd,inc_delta_mean,inc_delta_sd,inc_w_mean,inc_w_sd,inc_bookkeeping_mean,inc_bookkeeping_sd,ratio_mean,ratio_sd
ring_control,256,0,2,4,0.1091748,0.006734505101341892,0.40915840000000003,0.04284853577241585,0.023392,0.002295769065041169,0.0189086,0.001416174085344031,0.064833,0.00437160917740825,3.745467636978489,0.2729408860774808
ring_enemy,256,128,129,258,0.8911918,0.030942997666031008,0.3847332,0.006227268980861518,0.0247584,0.003803787459887842,0.7918334,0.019101783514635474,0.06215,0.003485113599296301,0.4320881947417451,0.012560699262325045
star_leaf,256,0,2,3,0.0981586,0.0054746003543637775,0.3793332,0.01715400115891333,0.0210998,0.0016591383787978625,0.0153502,0.0008392814545788564,0.0609336,0.0019614329047918004,3.8724263972765938,0.2195201326567877
star_hub,256,0,2,257,0.7617082000000001,0.038215898091762825,0.38575,0.0073482904406399156,0.021417,0.0008902278360060415,0.6753,0.030505801998964036,0.061567000000000004,0.0037218215432768954,0.5076789124114329,0.026801985942738825
ring_control,1024,0,2,4,0.1588252,0.00558415746196326,3.4549916,0.07391826153150517,0.0503582,0.0015877608636063543,0.0243332,0.0013985508785882624,0.0820168,0.0033103308233468137,21.775807517062812,0.7846966184574037
ring_enemy,1024,512,513,1026,3.3311164,0.04276406820030101,3.5564166,0.0755538016187141,0.0595582,0.0028346612778249185,3.1862002,0.04127032176952349,0.0882998,0.002353478055984372,1.0679513136652876,0.031568666909706715
star_leaf,1024,0,2,3,0.1510168,0.005191433227924635,3.4280666,0.06536765329916612,0.0501248,0.003880586316524863,0.020733400000000003,0.0006572435165142372,0.0827418,0.004080785875294119,22.73370447208298,1.0538841406710746
star_hub,1024,0,2,1025,2.8355086,0.03940431351311689,3.4415832,0.042302945393435605,0.0530086,0.0026810769179566635,2.6985,0.042773202606304725,0.0823166,0.006969040123288143,1.2140302325376635,0.02520586241060556
ring_control,2048,0,2,4,0.2034332,0.007146094441021616,15.4080748,0.35166221210781246,0.07415,0.002671451964756247,0.0263918,0.0007182858483918505,0.1015164,0.005244305696658042,75.8337659935157,3.180092007277401
ring_enemy,2048,1024,1025,2050,6.7888166,0.020178098360350855,15.75925,0.2325592456059316,0.0900498,0.0016532419544640175,6.576925,0.01820141280230749,0.100667,0.005056466711054269,2.321316676226864,0.0308973675093029
star_leaf,2048,0,2,3,0.201525,0.008590099603613458,15.601225,0.2068794996426662,0.0755666,0.0020463634672266817,0.022675,0.00061762091933483,0.1018998,0.006308720073041758,77.58105538680475,3.936512262201137
star_hub,2048,0,2,2049,5.8203998,0.04311056249876568,15.4168834,0.24831482907357774,0.0740334,0.0020647332612228654,5.6288836,0.06064304898535359,0.09925,0.003876274706467537,2.64874502531603,0.03605597518361367
