Scenario,$n$,$|\mathcal{T}_{adj}|$,$Q_{\mathcal{T}}$,Inc. (ms),Batch (ms),Batch/inc.
Ring: control,256,2,4,$0.11 \pm 0.01$,$0.41 \pm 0.04$,$3.75 \pm 0.27$
Ring: enemy,256,129,258,$0.89 \pm 0.03$,$0.38 \pm 0.01$,$0.43 \pm 0.01$
Star: leaf,256,2,3,$0.10 \pm 0.01$,$0.38 \pm 0.02$,$3.87 \pm 0.22$
Star: hub,256,2,257,$0.76 \pm 0.04$,$0.39 \pm 0.01$,$0.51 \pm 0.03$
Ring: control,1024,2,4,$0.16 \pm 0.01$,$3.45 \pm 0.07$,$21.78 \pm 0.78$
Ring: enemy,1024,513,1026,$3.33 \pm 0.04$,$3.56 \pm 0.08$,$1.07 \pm 0.03$
Star: leaf,1024,2,3,$0.15 \pm 0.01$,$3.43 \pm 0.07$,$22.73 \pm 1.05$
Star: hub,1024,2,1025,$2.84 \pm 0.04$,$3.44 \pm 0.04$,$1.21 \pm 0.03$
Ring: control,2048,2,4,$0.20 \pm 0.01$,$15.41 \pm 0.35$,$75.83 \pm 3.18$
Ring: enemy,2048,1025,2050,$6.79 \pm 0.02$,$15.76 \pm 0.23$,$2.32 \pm 0.03$
Star: leaf,2048,2,3,$0.20 \pm 0.01$,$15.60 \pm 0.21$,$77.58 \pm 3.94$
Star: hub,2048,2,2049,$5.82 \pm 0.04$,$15.42 \pm 0.25$,$2.65 \pm 0.04$
