seed,first_step,last_step,mean_ms,max_ms
0,1,200,25.402249660000106,191.9380000000075
0,201,400,24.744419590000742,176.25641700000472
0,401,600,39.35549560999945,255.37741700000538
0,601,800,30.597291699998976,229.50937500002055
0,801,1000,24.35077874500067,253.43499999999608
1,1,200,35.20378497000017,242.27770899999257
1,201,400,39.06694769999987,340.7572499999958
1,401,600,34.45221978999939,271.658374999987
1,601,800,39.74724101999939,304.91808400000764
1,801,1000,32.64596747999988,195.15987499997323
2,1,200,25.530408145000365,153.15100000000825
2,201,400,30.11384206499976,190.47029100001112
2,401,600,30.341650434999465,300.0271249999997
2,601,800,37.08601962000046,1386.3317500000107
2,801,1000,32.53263374999932,220.87350000001038
