dataset,method,seed,test_acc,val_acc,alpha
Cora,GCN-plain,42,0.7990,0.7860,
Cora,RG-GCN-static (simplified),42,0.7300,0.7240,
Cora,INRS-psi-only,42,0.6240,0.6260,
Cora,INRS-hybrid-grid,42,0.8100,0.8020,5.0
Cora,INRS-hybrid-learned,42,0.8160,0.7860,
Cora,GCN-plain,0,0.8100,0.7980,
Cora,RG-GCN-static (simplified),0,0.7270,0.7100,
Cora,INRS-psi-only,0,0.6390,0.6340,
Cora,INRS-hybrid-grid,0,0.8070,0.7980,5.0
Cora,INRS-hybrid-learned,0,0.8090,0.7940,
Cora,GCN-plain,1,0.8090,0.8020,
Cora,RG-GCN-static (simplified),1,0.7420,0.7420,
Cora,INRS-psi-only,1,0.6590,0.6520,
Cora,INRS-hybrid-grid,1,0.8040,0.7980,0.5
Cora,INRS-hybrid-learned,1,0.8100,0.7960,
Cora,GCN-plain,2,0.8070,0.7940,
Cora,RG-GCN-static (simplified),2,0.7360,0.7040,
Cora,INRS-psi-only,2,0.6450,0.6380,
Cora,INRS-hybrid-grid,2,0.8170,0.8040,5.0
Cora,INRS-hybrid-learned,2,0.8190,0.8000,
Cora,GCN-plain,3,0.8090,0.7920,
Cora,RG-GCN-static (simplified),3,0.7470,0.7220,
Cora,INRS-psi-only,3,0.6360,0.6340,
Cora,INRS-hybrid-grid,3,0.8080,0.7920,1.0
Cora,INRS-hybrid-learned,3,0.8000,0.7880,
Cora,GCN-plain,4,0.8050,0.8020,
Cora,RG-GCN-static (simplified),4,0.7390,0.7220,
Cora,INRS-psi-only,4,0.6510,0.6240,
Cora,INRS-hybrid-grid,4,0.8030,0.8080,1.0
Cora,INRS-hybrid-learned,4,0.8160,0.8060,
Cora,GCN-plain,5,0.8000,0.7900,
Cora,RG-GCN-static (simplified),5,0.7300,0.7260,
Cora,INRS-psi-only,5,0.6350,0.6200,
Cora,INRS-hybrid-grid,5,0.7950,0.8000,1.0
Cora,INRS-hybrid-learned,5,0.8020,0.7940,
Cora,GCN-plain,6,0.8140,0.7920,
Cora,RG-GCN-static (simplified),6,0.7510,0.7340,
Cora,INRS-psi-only,6,0.6670,0.6360,
Cora,INRS-hybrid-grid,6,0.8110,0.7900,0.5
